checking_status,duration,loan_history,purpose,loan_amount,savings_status,employment,installment_commitment,personal_status,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_loans,job,num_dependents,own_telephone,foreign_worker,accepted,label,foreign_worker_binary,checking_status_ordinal,savings_status_ordinal,employment_ordinal,installment_commitment_ordinal
0_to_200DM,12.0,Existing_loans_paid_till_now,new_car,1295.0,<100DM,<1yr,3.0,female_divorced/separated/married,None,1.0,car_or_other_nonsavings,25.0,none,rent,w1,skilled_employee/official,1.0,No,yes,1.0,1.0,1.0,1.0,0.0,0.0,3.0
<0DM,48.0,Existing_loans_paid_till_now,business,4308.0,<100DM,<1yr,3.0,female_divorced/separated/married,None,4.0,building_society_savings_agreement/life_insurance,24.0,none,rent,r1,skilled_employee/official,1.0,No,yes,1.0,1.0,1.0,0.0,0.0,0.0,3.0
0_to_200DM,12.0,Existing_loans_paid_till_now,radio/television,1567.0,<100DM,1_to_4yrs,1.0,female_divorced/separated/married,None,1.0,car_or_other_nonsavings,22.0,none,own,1,skilled_employee/official,1.0,Yes,yes,2.0,0.0,1.0,1.0,0.0,1.0,1.0
<0DM,24.0,Critical_acct_other_loans_existing,new_car,1199.0,<100DM,>7yrs,4.0,male_single,None,4.0,car_or_other_nonsavings,60.0,none,own,22,unskilled_resident,1.0,No,yes,1.0,1.0,1.0,0.0,0.0,3.0,4.0
<0DM,15.0,Existing_loans_paid_till_now,new_car,1403.0,<100DM,1_to_4yrs,2.0,female_divorced/separated/married,None,4.0,car_or_other_nonsavings,28.0,none,rent,1,skilled_employee/official,1.0,No,yes,2.0,0.0,1.0,0.0,0.0,1.0,2.0
<0DM,24.0,Existing_loans_paid_till_now,radio/television,1282.0,100_to_500DM,1_to_4yrs,4.0,female_divorced/separated/married,None,2.0,car_or_other_nonsavings,32.0,none,own,g1,unskilled_resident,1.0,No,yes,1.0,1.0,1.0,0.0,1.0,1.0,4.0
None,24.0,Critical_acct_other_loans_existing,radio/television,2424.0,Unknown_or_no_savings_acct,>7yrs,4.0,male_single,None,4.0,building_society_savings_agreement/life_insurance,53.0,none,own,j22,skilled_employee/official,1.0,No,yes,2.0,0.0,1.0,-1.0,-1.0,3.0,4.0
<0DM,30.0,No_loans_taken_or_all_paid,business,8072.0,Unknown_or_no_savings_acct,<1yr,2.0,male_single,None,3.0,car_or_other_nonsavings,25.0,bank,own,j333,skilled_employee/official,1.0,No,yes,2.0,0.0,1.0,0.0,-1.0,0.0,2.0
0_to_200DM,24.0,Existing_loans_paid_till_now,used_car,12579.0,<100DM,>7yrs,4.0,female_divorced/separated/married,None,2.0,unknown/no_property,44.0,none,for_free,a1,management_self-employed_highly_qualified/officer,1.0,Yes,yes,1.0,1.0,1.0,1.0,0.0,3.0,4.0
None,24.0,Existing_loans_paid_till_now,radio/television,3430.0,500_to_1000DM,>7yrs,3.0,male_single,None,2.0,car_or_other_nonsavings,31.0,none,own,n1,skilled_employee/official,2.0,Yes,yes,2.0,0.0,1.0,-1.0,2.0,3.0,3.0
None,9.0,Critical_acct_other_loans_existing,new_car,2134.0,<100DM,1_to_4yrs,4.0,male_single,None,4.0,car_or_other_nonsavings,48.0,none,own,km333,skilled_employee/official,1.0,Yes,yes,2.0,0.0,1.0,-1.0,0.0,1.0,4.0
<0DM,6.0,Existing_loans_paid_till_now,radio/television,2647.0,500_to_1000DM,1_to_4yrs,2.0,male_single,None,3.0,real_estate,44.0,none,rent,1,skilled_employee/official,2.0,No,yes,2.0,0.0,1.0,0.0,2.0,1.0,2.0
<0DM,10.0,Critical_acct_other_loans_existing,new_car,2241.0,<100DM,<1yr,1.0,male_single,None,3.0,real_estate,48.0,none,rent,dgl22,unskilled_resident,2.0,No,no,2.0,0.0,0.0,0.0,0.0,0.0,1.0
0_to_200DM,12.0,Critical_acct_other_loans_existing,used_car,1804.0,100_to_500DM,<1yr,3.0,male_single,None,4.0,building_society_savings_agreement/life_insurance,44.0,none,own,l1,skilled_employee/official,1.0,No,yes,2.0,0.0,1.0,1.0,1.0,0.0,3.0
None,10.0,Critical_acct_other_loans_existing,furniture/equipment,2069.0,Unknown_or_no_savings_acct,1_to_4yrs,2.0,male_married/widowed,None,1.0,car_or_other_nonsavings,26.0,none,own,c22,skilled_employee/official,1.0,No,no,2.0,0.0,0.0,-1.0,-1.0,1.0,2.0
<0DM,6.0,Existing_loans_paid_till_now,furniture/equipment,1374.0,<100DM,1_to_4yrs,1.0,male_single,None,2.0,real_estate,36.0,bank,own,h1,unskilled_resident,1.0,Yes,yes,2.0,0.0,1.0,0.0,0.0,1.0,1.0
None,6.0,No_loans_taken_or_all_paid,radio/television,426.0,<100DM,>7yrs,4.0,male_married/widowed,None,4.0,car_or_other_nonsavings,39.0,none,own,ks1,unskilled_resident,1.0,No,yes,2.0,0.0,1.0,-1.0,0.0,3.0,4.0
>200DM,12.0,All_loans_paid_duly,radio/television,409.0,>1000DM,1_to_4yrs,3.0,female_divorced/separated/married,None,3.0,real_estate,42.0,none,rent,22,skilled_employee/official,1.0,No,yes,2.0,0.0,1.0,2.0,3.0,1.0,3.0
0_to_200DM,7.0,Existing_loans_paid_till_now,radio/television,2415.0,<100DM,1_to_4yrs,3.0,male_single,guarantor,2.0,real_estate,34.0,none,own,1,skilled_employee/official,1.0,No,yes,2.0,0.0,1.0,1.0,0.0,1.0,3.0
<0DM,60.0,Delay_in_past,business,6836.0,<100DM,>7yrs,3.0,male_single,None,4.0,unknown/no_property,63.0,none,own,rv22,skilled_employee/official,1.0,Yes,yes,1.0,1.0,1.0,0.0,0.0,3.0,3.0
0_to_200DM,18.0,Existing_loans_paid_till_now,business,1913.0,>1000DM,<1yr,3.0,male_married/widowed,None,3.0,real_estate,36.0,bank,own,1,skilled_employee/official,1.0,Yes,yes,2.0,0.0,1.0,1.0,3.0,0.0,3.0
<0DM,24.0,Existing_loans_paid_till_now,furniture/equipment,4020.0,<100DM,1_to_4yrs,2.0,male_single,None,2.0,car_or_other_nonsavings,27.0,stores,own,1,skilled_employee/official,1.0,No,yes,2.0,0.0,1.0,0.0,0.0,1.0,2.0
0_to_200DM,18.0,Existing_loans_paid_till_now,new_car,5866.0,100_to_500DM,1_to_4yrs,2.0,male_single,None,2.0,car_or_other_nonsavings,30.0,none,own,n22,skilled_employee/official,1.0,Yes,yes,2.0,0.0,1.0,1.0,1.0,1.0,2.0
None,12.0,Critical_acct_other_loans_existing,business,1264.0,Unknown_or_no_savings_acct,>7yrs,4.0,male_single,None,4.0,unknown/no_property,57.0,none,rent,j1,unskilled_resident,1.0,No,yes,2.0,0.0,1.0,-1.0,-1.0,3.0,4.0
>200DM,12.0,Existing_loans_paid_till_now,furniture/equipment,1474.0,<100DM,<1yr,4.0,female_divorced/separated/married,None,1.0,building_society_savings_agreement/life_insurance,33.0,bank,own,ub1,management_self-employed_highly_qualified/officer,1.0,Yes,yes,2.0,0.0,1.0,2.0,0.0,0.0,4.0
0_to_200DM,45.0,Critical_acct_other_loans_existing,radio/television,4746.0,<100DM,<1yr,4.0,male_single,None,2.0,building_society_savings_agreement/life_insurance,25.0,none,own,s22,unskilled_resident,1.0,No,yes,1.0,1.0,1.0,1.0,0.0,0.0,4.0
None,48.0,Critical_acct_other_loans_existing,education,6110.0,<100DM,1_to_4yrs,1.0,male_single,None,3.0,unknown/no_property,31.0,bank,for_free,u1,skilled_employee/official,1.0,Yes,yes,2.0,0.0,1.0,-1.0,0.0,1.0,1.0
>200DM,18.0,Existing_loans_paid_till_now,radio/television,2100.0,<100DM,1_to_4yrs,4.0,male_single,co-applicant,2.0,real_estate,37.0,stores,own,r1,skilled_employee/official,1.0,No,yes,1.0,1.0,1.0,2.0,0.0,1.0,4.0
>200DM,10.0,Existing_loans_paid_till_now,domestic_appliances,1225.0,<100DM,1_to_4yrs,2.0,male_single,None,2.0,car_or_other_nonsavings,37.0,none,own,j1,skilled_employee/official,1.0,Yes,yes,2.0,0.0,1.0,2.0,0.0,1.0,2.0
0_to_200DM,9.0,Existing_loans_paid_till_now,radio/television,458.0,<100DM,1_to_4yrs,4.0,male_single,None,3.0,real_estate,24.0,none,own,do1,skilled_employee/official,1.0,No,yes,2.0,0.0,1.0,1.0,0.0,1.0,4.0
None,30.0,Existing_loans_paid_till_now,radio/television,2333.0,500_to_1000DM,>7yrs,4.0,male_single,None,2.0,car_or_other_nonsavings,30.0,bank,own,f1,management_self-employed_highly_qualified/officer,1.0,No,yes,2.0,0.0,1.0,-1.0,2.0,3.0,4.0
0_to_200DM,12.0,Existing_loans_paid_till_now,radio/television,1158.0,500_to_1000DM,1_to_4yrs,3.0,male_divorced/separated,None,1.0,car_or_other_nonsavings,26.0,none,own,zn1,skilled_employee/official,1.0,Yes,yes,2.0,0.0,1.0,1.0,2.0,1.0,3.0
0_to_200DM,18.0,Delay_in_past,repairs,6204.0,<100DM,1_to_4yrs,2.0,male_single,None,4.0,real_estate,44.0,none,own,r1,unskilled_resident,2.0,Yes,yes,2.0,0.0,1.0,1.0,0.0,1.0,2.0
<0DM,30.0,Critical_acct_other_loans_existing,used_car,6187.0,100_to_500DM,4_to_7yrs,1.0,male_married/widowed,None,4.0,car_or_other_nonsavings,24.0,none,rent,22,skilled_employee/official,1.0,No,yes,2.0,0.0,1.0,0.0,1.0,2.0,1.0
<0DM,48.0,Critical_acct_other_loans_existing,used_car,6143.0,<100DM,>7yrs,4.0,female_divorced/separated/married,None,4.0,unknown/no_property,58.0,stores,for_free,fo22,unskilled_resident,1.0,No,yes,1.0,1.0,1.0,0.0,0.0,3.0,4.0
None,11.0,Critical_acct_other_loans_existing,new_car,1393.0,<100DM,<1yr,4.0,female_divorced/separated/married,None,4.0,car_or_other_nonsavings,35.0,none,own,22,management_self-employed_highly_qualified/officer,1.0,No,yes,2.0,0.0,1.0,-1.0,0.0,0.0,4.0
None,36.0,Existing_loans_paid_till_now,radio/television,2299.0,500_to_1000DM,>7yrs,4.0,male_single,None,4.0,car_or_other_nonsavings,39.0,none,own,1,skilled_employee/official,1.0,No,yes,2.0,0.0,1.0,-1.0,2.0,3.0,4.0
<0DM,6.0,Existing_loans_paid_till_now,used_car,1352.0,500_to_1000DM,unemployed,1.0,female_divorced/separated/married,None,2.0,building_society_savings_agreement/life_insurance,23.0,none,rent,1,unemployed/unskilled_nonresident,1.0,Yes,yes,2.0,0.0,1.0,0.0,2.0,-1.0,1.0
None,11.0,Critical_acct_other_loans_existing,new_car,7228.0,<100DM,1_to_4yrs,1.0,male_single,None,4.0,building_society_savings_agreement/life_insurance,39.0,none,own,22,unskilled_resident,1.0,No,yes,2.0,0.0,1.0,-1.0,0.0,1.0,1.0
None,12.0,Existing_loans_paid_till_now,radio/television,2073.0,100_to_500DM,1_to_4yrs,4.0,female_divorced/separated/married,co-applicant,2.0,real_estate,28.0,none,own,z1,skilled_employee/official,1.0,No,yes,2.0,0.0,1.0,-1.0,1.0,1.0,4.0
0_to_200DM,24.0,Delay_in_past,furniture/equipment,2333.0,Unknown_or_no_savings_acct,<1yr,4.0,male_single,None,2.0,building_society_savings_agreement/life_insurance,29.0,bank,own,wk1,unskilled_resident,1.0,No,yes,2.0,0.0,1.0,1.0,-1.0,0.0,4.0
0_to_200DM,27.0,Delay_in_past,used_car,5965.0,<100DM,>7yrs,1.0,male_single,None,2.0,car_or_other_nonsavings,30.0,none,own,22,management_self-employed_highly_qualified/officer,1.0,Yes,yes,2.0,0.0,1.0,1.0,0.0,3.0,1.0
None,12.0,Existing_loans_paid_till_now,radio/television,1262.0,<100DM,1_to_4yrs,3.0,male_single,None,2.0,car_or_other_nonsavings,25.0,none,own,1,skilled_employee/official,1.0,No,yes,2.0,0.0,1.0,-1.0,0.0,1.0,3.0
None,18.0,Existing_loans_paid_till_now,used_car,3378.0,Unknown_or_no_savings_acct,1_to_4yrs,2.0,male_single,None,1.0,building_society_savings_agreement/life_insurance,31.0,none,own,y1,skilled_employee/official,1.0,Yes,yes,2.0,0.0,1.0,-1.0,-1.0,1.0,2.0
0_to_200DM,36.0,Delay_in_past,new_car,2225.0,<100DM,>7yrs,4.0,male_single,None,4.0,unknown/no_property,57.0,bank,for_free,22,skilled_employee/official,1.0,Yes,yes,1.0,1.0,1.0,1.0,0.0,3.0,4.0
None,6.0,All_loans_paid_duly,new_car,783.0,Unknown_or_no_savings_acct,1_to_4yrs,1.0,male_single,guarantor,2.0,real_estate,26.0,stores,own,fz1,unskilled_resident,2.0,No,yes,2.0,0.0,1.0,-1.0,-1.0,1.0,1.0
0_to_200DM,12.0,Existing_loans_paid_till_now,radio/television,6468.0,Unknown_or_no_savings_acct,unemployed,2.0,male_single,None,1.0,unknown/no_property,52.0,none,own,1,management_self-employed_highly_qualified/officer,1.0,Yes,yes,1.0,1.0,1.0,1.0,-1.0,-1.0,2.0
None,36.0,Critical_acct_other_loans_existing,radio/television,9566.0,<100DM,1_to_4yrs,2.0,female_divorced/separated/married,None,2.0,car_or_other_nonsavings,31.0,stores,own,22,skilled_employee/official,1.0,No,yes,2.0,0.0,1.0,-1.0,0.0,1.0,2.0
>200DM,18.0,Existing_loans_paid_till_now,new_car,1961.0,<100DM,>7yrs,3.0,female_divorced/separated/married,None,2.0,car_or_other_nonsavings,23.0,none,own,z1,management_self-employed_highly_qualified/officer,1.0,No,yes,2.0,0.0,1.0,2.0,0.0,3.0,3.0
<0DM,36.0,Critical_acct_other_loans_existing,furniture/equipment,6229.0,<100DM,<1yr,4.0,female_divorced/separated/married,co-applicant,4.0,unknown/no_property,23.0,none,rent,ouv22,unskilled_resident,1.0,Yes,yes,1.0,1.0,1.0,0.0,0.0,0.0,4.0
0_to_200DM,9.0,Existing_loans_paid_till_now,business,1391.0,<100DM,1_to_4yrs,2.0,male_married/widowed,None,1.0,real_estate,27.0,bank,own,s1,skilled_employee/official,1.0,Yes,yes,2.0,0.0,1.0,1.0,0.0,1.0,2.0
0_to_200DM,15.0,Critical_acct_other_loans_existing,radio/television,1537.0,Unknown_or_no_savings_acct,>7yrs,4.0,male_single,guarantor,4.0,real_estate,50.0,none,own,22,skilled_employee/official,1.0,Yes,yes,2.0,0.0,1.0,1.0,-1.0,3.0,4.0
0_to_200DM,36.0,No_loans_taken_or_all_paid,business,1953.0,<100DM,>7yrs,4.0,male_single,None,4.0,unknown/no_property,61.0,none,for_free,wt1,management_self-employed_highly_qualified/officer,1.0,Yes,yes,1.0,1.0,1.0,1.0,0.0,3.0,4.0
0_to_200DM,48.0,No_loans_taken_or_all_paid,business,14421.0,<100DM,1_to_4yrs,2.0,male_single,None,2.0,car_or_other_nonsavings,25.0,none,own,g1,skilled_employee/official,1.0,Yes,yes,1.0,1.0,1.0,1.0,0.0,1.0,2.0
None,24.0,Existing_loans_paid_till_now,radio/television,3181.0,<100DM,<1yr,4.0,female_divorced/separated/married,None,4.0,building_society_savings_agreement/life_insurance,26.0,none,own,1,skilled_employee/official,1.0,Yes,yes,2.0,0.0,1.0,-1.0,0.0,0.0,4.0
None,27.0,Existing_loans_paid_till_now,repairs,5190.0,Unknown_or_no_savings_acct,>7yrs,4.0,male_single,None,4.0,building_society_savings_agreement/life_insurance,48.0,none,own,bb4444,skilled_employee/official,2.0,Yes,yes,2.0,0.0,1.0,-1.0,-1.0,3.0,4.0
None,12.0,Existing_loans_paid_till_now,radio/television,2171.0,<100DM,<1yr,2.0,female_divorced/separated/married,None,2.0,car_or_other_nonsavings,29.0,bank,own,1,skilled_employee/official,1.0,No,yes,2.0,0.0,1.0,-1.0,0.0,0.0,2.0
0_to_200DM,12.0,Existing_loans_paid_till_now,new_car,1007.0,>1000DM,1_to_4yrs,4.0,male_married/widowed,None,1.0,real_estate,22.0,none,own,p1,skilled_employee/official,1.0,No,yes,2.0,0.0,1.0,1.0,3.0,1.0,4.0
None,36.0,Existing_loans_paid_till_now,education,1819.0,<100DM,1_to_4yrs,4.0,male_single,None,4.0,unknown/no_property,37.0,stores,for_free,nr1,skilled_employee/official,1.0,Yes,yes,1.0,1.0,1.0,-1.0,0.0,1.0,4.0
None,36.0,Existing_loans_paid_till_now,radio/television,2394.0,Unknown_or_no_savings_acct,1_to_4yrs,4.0,female_divorced/separated/married,None,4.0,car_or_other_nonsavings,25.0,none,own,1,skilled_employee/official,1.0,No,yes,2.0,0.0,1.0,-1.0,-1.0,1.0,4.0
None,36.0,Existing_loans_paid_till_now,used_car,8133.0,<100DM,1_to_4yrs,1.0,female_divorced/separated/married,None,2.0,building_society_savings_agreement/life_insurance,30.0,bank,own,o1,skilled_employee/official,1.0,No,yes,2.0,0.0,1.0,-1.0,0.0,1.0,1.0
None,7.0,Critical_acct_other_loans_existing,radio/television,730.0,Unknown_or_no_savings_acct,>7yrs,4.0,male_single,None,2.0,building_society_savings_agreement/life_insurance,46.0,none,rent,bp22,unskilled_resident,1.0,Yes,yes,2.0,0.0,1.0,-1.0,-1.0,3.0,4.0
<0DM,8.0,Critical_acct_other_loans_existing,other,1164.0,<100DM,>7yrs,3.0,male_single,None,4.0,unknown/no_property,51.0,bank,for_free,22,management_self-employed_highly_qualified/officer,2.0,Yes,yes,2.0,0.0,1.0,0.0,0.0,3.0,3.0
0_to_200DM,42.0,Critical_acct_other_loans_existing,business,5954.0,<100DM,4_to_7yrs,2.0,female_divorced/separated/married,None,1.0,real_estate,41.0,bank,own,ebp22,unskilled_resident,1.0,No,yes,2.0,0.0,1.0,1.0,0.0,2.0,2.0
<0DM,36.0,Existing_loans_paid_till_now,education,1977.0,Unknown_or_no_savings_acct,>7yrs,4.0,male_single,None,4.0,unknown/no_property,40.0,none,own,b1,management_self-employed_highly_qualified/officer,1.0,Yes,yes,1.0,1.0,1.0,0.0,-1.0,3.0,4.0
<0DM,12.0,Critical_acct_other_loans_existing,used_car,1526.0,<100DM,>7yrs,4.0,male_single,None,4.0,unknown/no_property,66.0,none,for_free,22,management_self-employed_highly_qualified/officer,1.0,No,yes,2.0,0.0,1.0,0.0,0.0,3.0,4.0
<0DM,42.0,Existing_loans_paid_till_now,radio/television,3965.0,<100DM,<1yr,4.0,male_single,None,3.0,car_or_other_nonsavings,34.0,none,own,g1,skilled_employee/official,1.0,No,yes,1.0,1.0,1.0,0.0,0.0,0.0,4.0
0_to_200DM,11.0,Delay_in_past,radio/television,4771.0,<100DM,4_to_7yrs,2.0,male_single,None,4.0,building_society_savings_agreement/life_insurance,51.0,none,own,ha1,skilled_employee/official,1.0,No,yes,2.0,0.0,1.0,1.0,0.0,2.0,2.0
None,54.0,No_loans_taken_or_all_paid,used_car,9436.0,Unknown_or_no_savings_acct,1_to_4yrs,2.0,male_single,None,2.0,building_society_savings_agreement/life_insurance,39.0,none,own,g1,unskilled_resident,2.0,No,yes,2.0,0.0,1.0,-1.0,-1.0,1.0,2.0
0_to_200DM,30.0,Existing_loans_paid_till_now,furniture/equipment,3832.0,<100DM,<1yr,2.0,male_married/widowed,None,1.0,building_society_savings_agreement/life_insurance,22.0,none,own,n1,skilled_employee/official,1.0,No,yes,2.0,0.0,1.0,1.0,0.0,0.0,2.0
None,24.0,Existing_loans_paid_till_now,radio/television,5943.0,Unknown_or_no_savings_acct,<1yr,1.0,female_divorced/separated/married,None,1.0,car_or_other_nonsavings,44.0,none,own,22,skilled_employee/official,1.0,Yes,yes,1.0,1.0,1.0,-1.0,-1.0,0.0,1.0
None,15.0,Existing_loans_paid_till_now,radio/television,1213.0,500_to_1000DM,>7yrs,4.0,male_single,None,3.0,building_society_savings_agreement/life_insurance,47.0,stores,own,1,skilled_employee/official,1.0,Yes,yes,2.0,0.0,1.0,-1.0,2.0,3.0,4.0
None,18.0,Existing_loans_paid_till_now,business,1568.0,100_to_500DM,1_to_4yrs,3.0,female_divorced/separated/married,None,4.0,building_society_savings_agreement/life_insurance,24.0,none,rent,1,unskilled_resident,1.0,No,yes,2.0,0.0,1.0,-1.0,1.0,1.0,3.0
<0DM,24.0,Existing_loans_paid_till_now,other,1755.0,<100DM,>7yrs,4.0,female_divorced/separated/married,guarantor,4.0,real_estate,58.0,none,own,1,unskilled_resident,1.0,Yes,yes,2.0,0.0,1.0,0.0,0.0,3.0,4.0
<0DM,10.0,Existing_loans_paid_till_now,radio/television,2315.0,<100DM,>7yrs,3.0,male_single,None,4.0,real_estate,52.0,none,own,z1,unskilled_resident,1.0,No,yes,2.0,0.0,1.0,0.0,0.0,3.0,3.0
None,12.0,Critical_acct_other_loans_existing,business,1412.0,<100DM,1_to_4yrs,4.0,female_divorced/separated/married,guarantor,2.0,real_estate,29.0,none,own,22,management_self-employed_highly_qualified/officer,1.0,Yes,yes,2.0,0.0,1.0,-1.0,0.0,1.0,4.0
0_to_200DM,18.0,Critical_acct_other_loans_existing,furniture/equipment,1295.0,<100DM,<1yr,4.0,female_divorced/separated/married,None,1.0,building_society_savings_agreement/life_insurance,27.0,none,own,a22,skilled_employee/official,1.0,No,yes,2.0,0.0,1.0,1.0,0.0,0.0,4.0
0_to_200DM,36.0,Existing_loans_paid_till_now,education,12612.0,100_to_500DM,1_to_4yrs,1.0,male_single,None,4.0,unknown/no_property,47.0,none,for_free,k1,skilled_employee/official,2.0,Yes,yes,1.0,1.0,1.0,1.0,1.0,1.0,1.0
<0DM,18.0,Existing_loans_paid_till_now,new_car,2249.0,100_to_500DM,4_to_7yrs,4.0,male_single,None,3.0,car_or_other_nonsavings,30.0,none,own,a1,management_self-employed_highly_qualified/officer,2.0,Yes,yes,2.0,0.0,1.0,0.0,1.0,2.0,4.0
<0DM,12.0,No_loans_taken_or_all_paid,repairs,1108.0,<100DM,4_to_7yrs,4.0,male_single,None,3.0,real_estate,28.0,none,own,l22,skilled_employee/official,1.0,No,yes,1.0,1.0,1.0,0.0,0.0,2.0,4.0
None,12.0,Critical_acct_other_loans_existing,radio/television,618.0,<100DM,>7yrs,4.0,male_single,None,4.0,real_estate,56.0,none,own,qzp1,skilled_employee/official,1.0,No,yes,2.0,0.0,1.0,-1.0,0.0,3.0,4.0
<0DM,12.0,Critical_acct_other_loans_existing,used_car,1409.0,<100DM,>7yrs,4.0,male_single,None,3.0,real_estate,54.0,none,own,op1,skilled_employee/official,1.0,No,yes,2.0,0.0,1.0,0.0,0.0,3.0,4.0
None,12.0,Critical_acct_other_loans_existing,radio/television,797.0,Unknown_or_no_savings_acct,>7yrs,4.0,female_divorced/separated/married,None,3.0,building_society_savings_agreement/life_insurance,33.0,bank,own,v1,unskilled_resident,2.0,No,yes,1.0,1.0,1.0,-1.0,-1.0,3.0,4.0
>200DM,24.0,Critical_acct_other_loans_existing,furniture/equipment,3617.0,Unknown_or_no_savings_acct,>7yrs,4.0,male_single,co-applicant,4.0,unknown/no_property,20.0,none,rent,22,skilled_employee/official,1.0,No,yes,2.0,0.0,1.0,2.0,-1.0,3.0,4.0
0_to_200DM,12.0,Existing_loans_paid_till_now,new_car,1318.0,>1000DM,>7yrs,4.0,male_single,None,4.0,real_estate,54.0,none,own,z1,skilled_employee/official,1.0,Yes,yes,2.0,0.0,1.0,1.0,3.0,3.0,4.0
0_to_200DM,54.0,No_loans_taken_or_all_paid,business,15945.0,<100DM,<1yr,3.0,male_single,None,4.0,unknown/no_property,58.0,none,rent,t1,skilled_employee/official,1.0,Yes,yes,1.0,1.0,1.0,1.0,0.0,0.0,3.0
None,12.0,Critical_acct_other_loans_existing,education,2012.0,Unknown_or_no_savings_acct,4_to_7yrs,4.0,female_divorced/separated/married,None,2.0,car_or_other_nonsavings,61.0,none,own,1,skilled_employee/official,1.0,No,yes,2.0,0.0,1.0,-1.0,-1.0,2.0,4.0
0_to_200DM,18.0,Existing_loans_paid_till_now,business,2622.0,100_to_500DM,1_to_4yrs,4.0,male_single,None,4.0,car_or_other_nonsavings,34.0,none,own,h1,skilled_employee/official,1.0,No,yes,2.0,0.0,1.0,1.0,1.0,1.0,4.0
0_to_200DM,36.0,Critical_acct_other_loans_existing,radio/television,2337.0,<100DM,>7yrs,4.0,male_single,None,4.0,real_estate,36.0,none,own,xx1,skilled_employee/official,1.0,No,yes,2.0,0.0,1.0,1.0,0.0,3.0,4.0
0_to_200DM,20.0,Delay_in_past,used_car,7057.0,Unknown_or_no_savings_acct,4_to_7yrs,3.0,male_single,None,4.0,building_society_savings_agreement/life_insurance,36.0,bank,rent,zv22,management_self-employed_highly_qualified/officer,2.0,Yes,yes,2.0,0.0,1.0,1.0,-1.0,2.0,3.0
None,24.0,Existing_loans_paid_till_now,new_car,1469.0,100_to_500DM,>7yrs,4.0,male_married/widowed,None,4.0,real_estate,41.0,none,rent,p1,unskilled_resident,1.0,No,yes,2.0,0.0,1.0,-1.0,1.0,3.0,4.0
